opponent_bot,round,cumulative_ks,is_adapting_now
Ascendant 1.2.27,12,0.08858270695914505,0
Ascendant 1.2.27,13,0.08328258367661182,0
Ascendant 1.2.27,14,0.08291793223219895,0
Ascendant 1.2.27,15,0.078684075844421,0
Ascendant 1.2.27,16,0.07555617701131567,0
Ascendant 1.2.27,17,0.07163772482424907,0
Ascendant 1.2.27,18,0.07167646618532722,0
Ascendant 1.2.27,19,0.07096506249384904,0
Ascendant 1.2.27,20,0.07138366981269662,0
Ascendant 1.2.27,21,0.06937598254357907,0
Ascendant 1.2.27,22,0.07001393171177345,0
Ascendant 1.2.27,23,0.0702826640387616,0
Ascendant 1.2.27,24,0.07135259893589627,0
Ascendant 1.2.27,25,0.07239857734829802,0
Ascendant 1.2.27,26,0.07418151085998528,0
Ascendant 1.2.27,27,0.0742923780464134,0
Ascendant 1.2.27,28,0.07471872075058922,0
Ascendant 1.2.27,29,0.07328855424086689,0
Ascendant 1.2.27,30,0.07277686530497648,0
Ascendant 1.2.27,31,0.07180047350804147,0
Ascendant 1.2.27,32,0.06996552632271996,0
Ascendant 1.2.27,33,0.07040031189980858,0
Ascendant 1.2.27,34,0.07101633166607785,0
BeepBoop 2.0,1,0.0618079124664404,0
BeepBoop 2.0,2,0.03885742020119451,0
BeepBoop 2.0,3,0.043243174533696874,0
BeepBoop 2.0,4,0.052660582400717144,0
BeepBoop 2.0,5,0.051123451920146626,0
BeepBoop 2.0,6,0.04941132114642655,0
BeepBoop 2.0,7,0.046364701768553326,0
BeepBoop 2.0,8,0.045643186179260414,0
BeepBoop 2.0,9,0.05062357170751297,0
BeepBoop 2.0,10,0.049838930126878234,0
BeepBoop 2.0,11,0.053476164509328794,0
BeepBoop 2.0,12,0.05616208799721634,0
BeepBoop 2.0,13,0.05719127255322998,0
BeepBoop 2.0,14,0.05842314756504319,0
BeepBoop 2.0,15,0.05983280270357261,0
BeepBoop 2.0,16,0.06145844650062504,0
BeepBoop 2.0,17,0.0603749763068977,0
BeepBoop 2.0,18,0.059618297158258726,0
